feature,bucket
chg_lag1,momentum
chg_lag2,momentum
chg_lag3,momentum
chg_lag4,momentum
chg_lag5,momentum
carry_roll,carry_roll
mom_63d,momentum
mom_1m,momentum
mom_3m,momentum
mom_6m,momentum
mom_12m,momentum
dev_ma_3m,curve
dev_ma_12m,curve
vol_20d,vol
vol_regime,vol
vol_zscore,vol
level_zscore,curve
slope_10_1,curve
slope_10_5,curve
slope_5_1,curve
sofr_mom_1m,macro
ibor_level,macro
ibor_chg_1d,macro
ibor_mom_1m,macro
ibor_term_slope,macro
swap_ibor_basis,curve
move_level,vol
move_zscore,vol
vix_level,vol
vix_zscore,vol
v2x_level,vol
vxn_level,vol
ovx_level,vol
gvz_level,vol
spx_mom_1m,macro
spx_mom_3m,macro
sx5e_mom_1m,macro
sx5e_mom_3m,macro
mxwo_mom_1m,macro
ndx_mom_1m,macro
oil_mom_1m,macro
oil_mom_3m,macro
copper_mom_1m,macro
opec_prod,macro
natgas_mom_1m,macro
be5y_level,macro
be10y_level,macro
be_slope,macro
be5y_chg_1m,macro
ig_spread,credit
hy_spread,credit
ig_chg_1m,credit
hy_chg_1m,credit
cpi_yoy,macro
pce_core_chg,macro
nfp_change,macro
pmi_us,macro
pmi_eur,macro
unemp_eur,macro
cpi_nsa_level,macro
pce_core_level,macro
eur_3m,macro
eur_1w,macro
nor_ibor_1m,macro
nor_ibor_6m,macro
xm_AUS_10Y_lv,cross_market
xm_AUS_10Y_ch,cross_market
xm_AUS_15Y_lv,cross_market
xm_AUS_15Y_ch,cross_market
xm_AUS_1Y_lv,cross_market
xm_AUS_1Y_ch,cross_market
xm_AUS_30Y_lv,cross_market
xm_AUS_30Y_ch,cross_market
xm_AUS_5Y_lv,cross_market
xm_AUS_5Y_ch,cross_market
xm_BRAZ_1M_lv,cross_market
xm_BRAZ_1M_ch,cross_market
xm_BRAZ_1Y_lv,cross_market
xm_BRAZ_1Y_ch,cross_market
xm_BRAZ_3M_lv,cross_market
xm_BRAZ_3M_ch,cross_market
xm_BRAZ_6M_lv,cross_market
xm_BRAZ_6M_ch,cross_market
xm_CAN_10Y_lv,cross_market
xm_CAN_10Y_ch,cross_market
xm_CAN_1M_lv,cross_market
xm_CAN_1M_ch,cross_market
xm_CAN_1W_lv,cross_market
xm_CAN_1W_ch,cross_market
xm_CAN_1Y_lv,cross_market
xm_CAN_1Y_ch,cross_market
xm_CAN_3M_lv,cross_market
xm_CAN_3M_ch,cross_market
xm_CAN_5Y_lv,cross_market
xm_CAN_5Y_ch,cross_market
xm_CAN_6M_lv,cross_market
xm_CAN_6M_ch,cross_market
xm_CHIN_10Y_lv,cross_market
xm_CHIN_10Y_ch,cross_market
xm_CHIN_1M_lv,cross_market
xm_CHIN_1M_ch,cross_market
xm_CHIN_1Y_lv,cross_market
xm_CHIN_1Y_ch,cross_market
xm_CHIN_3M_lv,cross_market
xm_CHIN_3M_ch,cross_market
xm_CHIN_5Y_lv,cross_market
xm_CHIN_5Y_ch,cross_market
xm_CHIN_6M_lv,cross_market
xm_CHIN_6M_ch,cross_market
xm_EUR_10Y_lv,cross_market
xm_EUR_10Y_ch,cross_market
xm_EUR_15Y_lv,cross_market
xm_EUR_15Y_ch,cross_market
xm_EUR_1Y_lv,cross_market
xm_EUR_1Y_ch,cross_market
xm_EUR_30Y_lv,cross_market
xm_EUR_30Y_ch,cross_market
xm_EUR_5Y_lv,cross_market
xm_EUR_5Y_ch,cross_market
xm_JPY_10Y_lv,cross_market
xm_JPY_10Y_ch,cross_market
xm_JPY_15Y_lv,cross_market
xm_JPY_15Y_ch,cross_market
xm_JPY_1M_lv,cross_market
xm_JPY_1M_ch,cross_market
xm_JPY_1W_lv,cross_market
xm_JPY_1W_ch,cross_market
xm_JPY_1Y_lv,cross_market
xm_JPY_1Y_ch,cross_market
xm_JPY_30Y_lv,cross_market
xm_JPY_30Y_ch,cross_market
xm_JPY_3M_lv,cross_market
xm_JPY_3M_ch,cross_market
xm_JPY_5Y_lv,cross_market
xm_JPY_5Y_ch,cross_market
xm_JPY_6M_lv,cross_market
xm_JPY_6M_ch,cross_market
xm_NEWZ_10Y_lv,cross_market
xm_NEWZ_10Y_ch,cross_market
xm_NEWZ_15Y_lv,cross_market
xm_NEWZ_15Y_ch,cross_market
xm_NEWZ_1Y_lv,cross_market
xm_NEWZ_1Y_ch,cross_market
xm_NEWZ_30Y_lv,cross_market
xm_NEWZ_30Y_ch,cross_market
xm_NEWZ_5Y_lv,cross_market
xm_NEWZ_5Y_ch,cross_market
xm_NOR_10Y_lv,cross_market
xm_NOR_10Y_ch,cross_market
xm_NOR_15Y_lv,cross_market
xm_NOR_15Y_ch,cross_market
xm_NOR_1Y_lv,cross_market
xm_NOR_1Y_ch,cross_market
xm_NOR_30Y_lv,cross_market
xm_NOR_30Y_ch,cross_market
xm_NOR_5Y_lv,cross_market
xm_NOR_5Y_ch,cross_market
xm_POL_10Y_lv,cross_market
xm_POL_10Y_ch,cross_market
xm_POL_15Y_lv,cross_market
xm_POL_15Y_ch,cross_market
xm_POL_1Y_lv,cross_market
xm_POL_1Y_ch,cross_market
xm_POL_5Y_lv,cross_market
xm_POL_5Y_ch,cross_market
xm_SOFR_10Y_lv,cross_market
xm_SOFR_10Y_ch,cross_market
xm_SOFR_1M_lv,cross_market
xm_SOFR_1M_ch,cross_market
xm_SOFR_1W_lv,cross_market
xm_SOFR_1W_ch,cross_market
xm_SOFR_1Y_lv,cross_market
xm_SOFR_1Y_ch,cross_market
xm_SOFR_30Y_lv,cross_market
xm_SOFR_30Y_ch,cross_market
xm_SOFR_3M_lv,cross_market
xm_SOFR_3M_ch,cross_market
xm_SOFR_5Y_lv,cross_market
xm_SOFR_5Y_ch,cross_market
xm_SOFR_6M_lv,cross_market
xm_SOFR_6M_ch,cross_market
xm_SONIA_10Y_lv,cross_market
xm_SONIA_10Y_ch,cross_market
xm_SONIA_15Y_lv,cross_market
xm_SONIA_15Y_ch,cross_market
xm_SONIA_1M_lv,cross_market
xm_SONIA_1M_ch,cross_market
xm_SONIA_1W_lv,cross_market
xm_SONIA_1W_ch,cross_market
xm_SONIA_1Y_lv,cross_market
xm_SONIA_1Y_ch,cross_market
xm_SONIA_30Y_lv,cross_market
xm_SONIA_30Y_ch,cross_market
xm_SONIA_3M_lv,cross_market
xm_SONIA_3M_ch,cross_market
xm_SONIA_5Y_lv,cross_market
xm_SONIA_5Y_ch,cross_market
xm_SONIA_6M_lv,cross_market
xm_SONIA_6M_ch,cross_market
xm_SWE_10Y_lv,cross_market
xm_SWE_10Y_ch,cross_market
xm_SWE_15Y_lv,cross_market
xm_SWE_15Y_ch,cross_market
xm_SWE_1Y_lv,cross_market
xm_SWE_1Y_ch,cross_market
xm_SWE_30Y_lv,cross_market
xm_SWE_30Y_ch,cross_market
xm_SWE_5Y_lv,cross_market
xm_SWE_5Y_ch,cross_market
xm_SWZ_10Y_lv,cross_market
xm_SWZ_10Y_ch,cross_market
xm_SWZ_15Y_lv,cross_market
xm_SWZ_15Y_ch,cross_market
xm_SWZ_1M_lv,cross_market
xm_SWZ_1M_ch,cross_market
xm_SWZ_1W_lv,cross_market
xm_SWZ_1W_ch,cross_market
xm_SWZ_1Y_lv,cross_market
xm_SWZ_1Y_ch,cross_market
xm_SWZ_30Y_lv,cross_market
xm_SWZ_30Y_ch,cross_market
xm_SWZ_3M_lv,cross_market
xm_SWZ_3M_ch,cross_market
xm_SWZ_5Y_lv,cross_market
xm_SWZ_5Y_ch,cross_market
xm_SWZ_6M_lv,cross_market
xm_SWZ_6M_ch,cross_market
xm_TURK_10Y_lv,cross_market
xm_TURK_10Y_ch,cross_market
xm_TURK_1M_lv,cross_market
xm_TURK_1M_ch,cross_market
xm_TURK_1W_lv,cross_market
xm_TURK_1W_ch,cross_market
xm_TURK_1Y_lv,cross_market
xm_TURK_1Y_ch,cross_market
xm_TURK_3M_lv,cross_market
xm_TURK_3M_ch,cross_market
xm_TURK_5Y_lv,cross_market
xm_TURK_5Y_ch,cross_market
xm_TURK_6M_lv,cross_market
xm_TURK_6M_ch,cross_market
security,categorical
country,categorical
maturity,categorical
