learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.01,4,0.8,0.8,1.0,1,0.02097417520128443,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,1.0,5,0.02097417520128443,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,1,0.02164166192320342,66,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,5.0,5,0.02164166192320342,66,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,1,0.02192628409670124,66,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,10.0,5,0.02192628409670124,66,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,1,0.02208275770206324,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,1.0,5,0.02208275770206324,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,1,0.02235326535092001,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,5.0,5,0.02235326535092001,68,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,1,0.022258191315801906,55,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,1.0,10.0,5,0.022258191315801906,55,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,1,0.02112980970968209,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,1.0,5,0.02112980970968209,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,1,0.02166235120178978,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,5.0,5,0.02166235120178978,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,1,0.022034917078990853,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,0.8,10.0,5,0.022034917078990853,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,1,0.022520844898961993,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,1.0,5,0.022520844898961993,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,1,0.022212211507733573,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,5.0,5,0.022212211507733573,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,10.0,1,0.022461178730371262,54,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,1.0,1.0,10.0,5,0.022461178730371262,54,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,0.8,1.0,1,0.021662248995145322,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,0.8,1.0,5,0.021662248995145322,81,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,0.8,5.0,1,0.022053172519234374,91,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,0.8,5.0,5,0.022053172519234374,91,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,0.8,10.0,1,0.022830033835257512,80,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,0.8,10.0,5,0.022830033835257512,80,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,1.0,1.0,1,0.021857222465291353,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,1.0,1.0,5,0.021857222465291353,53,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,1.0,5.0,1,0.022255143385405806,82,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,1.0,5.0,5,0.022255143385405806,82,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,1.0,10.0,1,0.022185467037537848,153,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,0.8,1.0,10.0,5,0.022185467037537848,153,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,0.8,1.0,1,0.02436189162871817,75,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,0.8,1.0,5,0.02436189162871817,75,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,0.8,5.0,1,0.0230933495900767,86,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,0.8,5.0,5,0.0230933495900767,86,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,0.8,10.0,1,0.022237846605577143,101,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,0.8,10.0,5,0.022237846605577143,101,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,1.0,1.0,1,0.021822126849049026,93,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,1.0,1.0,5,0.021822126849049026,93,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,1.0,5.0,1,0.021166597789638752,128,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,1.0,5.0,5,0.021166597789638752,128,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,1.0,10.0,1,0.021328094786110828,129,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,6,1.0,1.0,10.0,5,0.021328094786110828,129,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,0.8,1.0,1,0.019962593965142623,15,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,0.8,1.0,5,0.019962593965142623,15,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,0.8,5.0,1,0.020064091044348926,14,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,0.8,5.0,5,0.020064091044348926,14,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,0.8,10.0,1,0.021238848939103768,16,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,0.8,10.0,5,0.021238848939103768,16,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,1.0,1.0,1,0.021028480879636702,10,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,1.0,1.0,5,0.021028480879636702,10,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,1.0,5.0,1,0.021079462421298704,10,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,1.0,5.0,5,0.021079462421298704,10,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,1.0,10.0,1,0.020962592736541035,10,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,0.8,1.0,10.0,5,0.020962592736541035,10,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,0.8,1.0,1,0.018534606159983254,14,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,0.8,1.0,5,0.018534606159983254,14,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,0.8,5.0,1,0.01979344818767922,20,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,0.8,5.0,5,0.01979344818767922,20,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,0.8,10.0,1,0.0200300112874055,22,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,0.8,10.0,5,0.0200300112874055,22,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,1.0,1.0,1,0.024662685551144002,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,1.0,1.0,5,0.024662685551144002,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,1.0,5.0,1,0.023512794435828495,13,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,1.0,5.0,5,0.023512794435828495,13,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,1.0,10.0,1,0.023675287747906674,20,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,4,1.0,1.0,10.0,5,0.023675287747906674,20,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,0.8,1.0,1,0.022283883697235135,18,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,0.8,1.0,5,0.022283883697235135,18,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,0.8,5.0,1,0.02517229778205562,15,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,0.8,5.0,5,0.02517229778205562,15,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,0.8,10.0,1,0.023763323467024585,15,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,0.8,10.0,5,0.023763323467024585,15,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,1.0,1.0,1,0.021850916178180885,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,1.0,1.0,5,0.021850916178180885,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,1.0,5.0,1,0.023607901580980858,12,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,1.0,5.0,5,0.023607901580980858,12,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,1.0,10.0,1,0.023833084227234333,11,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,0.8,1.0,10.0,5,0.023833084227234333,11,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,0.8,1.0,1,0.0263531034109749,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,0.8,1.0,5,0.0263531034109749,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,0.8,5.0,1,0.024744496419592137,17,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,0.8,5.0,5,0.024744496419592137,17,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,0.8,10.0,1,0.025612486909184905,18,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,0.8,10.0,5,0.025612486909184905,18,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,1.0,1.0,1,0.01961339878999336,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,1.0,1.0,5,0.01961339878999336,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,1.0,5.0,1,0.018067055020004826,28,True,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,1.0,5.0,5,0.018067055020004826,28,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,1.0,10.0,1,0.019105489466935816,38,False,NOR_10Y,63,GFC,GFC,walk_forward
0.05,6,1.0,1.0,10.0,5,0.019105489466935816,38,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,0.8,1.0,1,0.02400490578024665,3,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,0.8,1.0,5,0.02400490578024665,3,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,0.8,5.0,1,0.020408009987979005,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,0.8,5.0,5,0.020408009987979005,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,0.8,10.0,1,0.022334294778727046,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,0.8,10.0,5,0.022334294778727046,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,1.0,1.0,1,0.0224423667837127,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,1.0,1.0,5,0.0224423667837127,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,1.0,5.0,1,0.021336038828623637,8,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,1.0,5.0,5,0.021336038828623637,8,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,1.0,10.0,1,0.022284718677511348,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,0.8,1.0,10.0,5,0.022284718677511348,7,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,0.8,1.0,1,0.019717104971145594,5,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,0.8,1.0,5,0.019717104971145594,5,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,0.8,5.0,1,0.018169720094118155,12,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,0.8,5.0,5,0.018169720094118155,12,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,0.8,10.0,1,0.019080019850299838,13,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,0.8,10.0,5,0.019080019850299838,13,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,1.0,1.0,1,0.023423742557003954,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,1.0,1.0,5,0.023423742557003954,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,1.0,5.0,1,0.02161067958902767,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,1.0,5.0,5,0.02161067958902767,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,1.0,10.0,1,0.019900496911292177,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,4,1.0,1.0,10.0,5,0.019900496911292177,6,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,0.8,1.0,1,0.024126086887362216,10,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,0.8,1.0,5,0.024126086887362216,10,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,0.8,5.0,1,0.02464085146841215,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,0.8,5.0,5,0.02464085146841215,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,0.8,10.0,1,0.024894610830128353,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,0.8,10.0,5,0.024894610830128353,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,1.0,1.0,1,0.025197072312792418,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,1.0,1.0,5,0.025197072312792418,9,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,1.0,5.0,1,0.023837917226360073,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,1.0,5.0,5,0.023837917226360073,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,1.0,10.0,1,0.02378726402772096,24,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,0.8,1.0,10.0,5,0.02378726402772096,24,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,0.8,1.0,1,0.02601746303592499,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,0.8,1.0,5,0.02601746303592499,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,0.8,5.0,1,0.025020033367632415,18,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,0.8,5.0,5,0.025020033367632415,18,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,0.8,10.0,1,0.025955751673053126,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,0.8,10.0,5,0.025955751673053126,1,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,1.0,1.0,1,0.02033557032385166,16,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,1.0,1.0,5,0.02033557032385166,16,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,1.0,5.0,1,0.02126061195023134,4,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,1.0,5.0,5,0.02126061195023134,4,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,1.0,10.0,1,0.020897304559434286,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.1,6,1.0,1.0,10.0,5,0.020897304559434286,19,False,NOR_10Y,63,GFC,GFC,walk_forward
0.01,4,0.8,0.8,1.0,1,0.04521238294864743,7,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,0.8,1.0,5,0.04521238294864743,7,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,0.8,5.0,1,0.045194718569351665,7,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,0.8,5.0,5,0.045194718569351665,7,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,0.8,10.0,1,0.045274132396462434,7,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,0.8,10.0,5,0.045274132396462434,7,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,1.0,1.0,1,0.045489079106324395,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,1.0,1.0,5,0.045489079106324395,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,1.0,5.0,1,0.04548848703630018,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,1.0,5.0,5,0.04548848703630018,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,1.0,10.0,1,0.04538304201510639,11,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,0.8,1.0,10.0,5,0.04538304201510639,11,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,0.8,1.0,1,0.04490389351560372,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,0.8,1.0,5,0.04490389351560372,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,0.8,5.0,1,0.044917912099405564,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,0.8,5.0,5,0.044917912099405564,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,0.8,10.0,1,0.04515356870108563,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,0.8,10.0,5,0.04515356870108563,8,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,1.0,1.0,1,0.04492923919455828,25,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,1.0,1.0,5,0.04492923919455828,25,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,1.0,5.0,1,0.04473624638411767,19,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,1.0,5.0,5,0.04473624638411767,19,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,1.0,10.0,1,0.04475775594944755,19,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,4,1.0,1.0,10.0,5,0.04475775594944755,19,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,0.8,1.0,1,0.04412516154829907,15,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,0.8,1.0,5,0.04412516154829907,15,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,0.8,5.0,1,0.04486202403596745,15,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,0.8,5.0,5,0.04486202403596745,15,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,0.8,10.0,1,0.04481492547651235,19,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,0.8,10.0,5,0.04481492547651235,19,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,1.0,1.0,1,0.04547087587298508,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,1.0,1.0,5,0.04547087587298508,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,1.0,5.0,1,0.043260456679326556,95,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,1.0,5.0,5,0.043260456679326556,95,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,1.0,10.0,1,0.0454672205568443,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,0.8,1.0,10.0,5,0.0454672205568443,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,1.0,0.8,1.0,1,0.04466137989536746,44,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,1.0,0.8,1.0,5,0.04466137989536746,44,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,1.0,0.8,5.0,1,0.04579562865111382,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
0.01,6,1.0,0.8,5.0,5,0.04579562865111382,1,False,NOR_10Y,63,ZIRP_early,ZIRP,walk_forward
