model,tenor,horizon,regime,binom_pval,reject_bonferroni,reject_bh,mtc_N
htboost_t,10Y,126,GFC,1.7788016065982848e-10,True,True,145
htboost_t,10Y,126,ZIRP_early,6.434539611748782e-38,True,True,145
htboost_t,10Y,126,ZIRP_late,1.3866166071797968e-05,True,True,145
htboost_t,10Y,126,COVID,1.0,False,False,145
htboost_t,10Y,126,Hiking,1.0,False,False,145
htboost_t,15Y,126,GFC,0.012390285195656,False,True,145
htboost_t,15Y,126,ZIRP_early,1.0,False,False,145
htboost_t,15Y,126,ZIRP_late,9.981930040222113e-08,True,True,145
htboost_t,15Y,126,COVID,1.0,False,False,145
htboost_t,15Y,126,Hiking,1.0,False,False,145
htboost_t,1Y,126,GFC,0.995403940016838,False,False,145
htboost_t,1Y,126,ZIRP_early,3.5459845824181254e-14,True,True,145
htboost_t,1Y,126,ZIRP_late,4.953409594878059e-22,True,True,145
htboost_t,1Y,126,COVID,1.0,False,False,145
htboost_t,1Y,126,Hiking,0.99999999612337,False,False,145
htboost_t,30Y,126,GFC,4.9979132545168024e-14,True,True,145
htboost_t,30Y,126,ZIRP_early,1.0,False,False,145
htboost_t,30Y,126,ZIRP_late,5.813739518218265e-09,True,True,145
htboost_t,30Y,126,COVID,0.999999999934394,False,False,145
htboost_t,30Y,126,Hiking,1.0,False,False,145
htboost_t,5Y,126,GFC,0.9832397386127898,False,False,145
htboost_t,5Y,126,ZIRP_early,7.466936513986906e-19,True,True,145
htboost_t,5Y,126,ZIRP_late,0.1685728845333956,False,False,145
htboost_t,5Y,126,COVID,1.0,False,False,145
htboost_t,5Y,126,Hiking,0.9999999999974856,False,False,145
htboost_t,10Y,1,GFC,0.898288495374472,False,False,145
htboost_t,10Y,1,ZIRP_early,0.5419702016926164,False,False,145
htboost_t,10Y,1,ZIRP_late,0.6404532393088862,False,False,145
htboost_t,10Y,1,COVID,0.075588805521678,False,False,145
htboost_t,10Y,1,Hiking,0.2130151739288131,False,False,145
htboost_t,15Y,1,GFC,0.9890115084569876,False,False,145
htboost_t,15Y,1,ZIRP_early,0.9959465995643356,False,False,145
htboost_t,15Y,1,ZIRP_late,0.930436657967174,False,False,145
htboost_t,15Y,1,COVID,0.2953054391629938,False,False,145
htboost_t,15Y,1,Hiking,0.0952939806643546,False,False,145
htboost_t,1Y,1,GFC,0.943008351775506,False,False,145
htboost_t,1Y,1,ZIRP_early,0.4723133631889247,False,False,145
htboost_t,1Y,1,ZIRP_late,0.9999651722234046,False,False,145
htboost_t,1Y,1,COVID,0.1710025802924621,False,False,145
htboost_t,1Y,1,Hiking,0.0029245607982489,False,True,145
htboost_t,30Y,1,GFC,0.9622144195293888,False,False,145
htboost_t,30Y,1,ZIRP_early,0.7477907571811098,False,False,145
htboost_t,30Y,1,ZIRP_late,0.6698869679616366,False,False,145
htboost_t,30Y,1,COVID,0.2315944695142664,False,False,145
htboost_t,30Y,1,Hiking,0.8995300560906127,False,False,145
htboost_t,5Y,1,GFC,0.9228247595211844,False,False,145
htboost_t,5Y,1,ZIRP_early,0.9632854335236176,False,False,145
htboost_t,5Y,1,ZIRP_late,0.9960152275287916,False,False,145
htboost_t,5Y,1,COVID,0.1177343081579216,False,False,145
htboost_t,5Y,1,Hiking,0.5000000000000008,False,False,145
htboost_t,10Y,21,GFC,0.191701282965254,False,False,145
htboost_t,10Y,21,ZIRP_early,6.797426806955292e-05,True,True,145
htboost_t,10Y,21,ZIRP_late,0.5988201705965803,False,False,145
htboost_t,10Y,21,COVID,0.9823909990698269,False,False,145
htboost_t,10Y,21,Hiking,0.9999981479637527,False,False,145
htboost_t,15Y,21,GFC,0.391838689759306,False,False,145
htboost_t,15Y,21,ZIRP_early,1.157588247760564e-09,True,True,145
htboost_t,15Y,21,ZIRP_late,0.2263493713982911,False,False,145
htboost_t,15Y,21,COVID,0.853017524827341,False,False,145
htboost_t,15Y,21,Hiking,0.9999999222246824,False,False,145
htboost_t,1Y,21,GFC,0.0455842042039856,False,False,145
htboost_t,1Y,21,ZIRP_early,4.3027830096703616e-06,True,True,145
htboost_t,1Y,21,ZIRP_late,0.1041727726357736,False,False,145
htboost_t,1Y,21,COVID,5.111888320921383e-06,True,True,145
htboost_t,1Y,21,Hiking,0.6406956632828857,False,False,145
htboost_t,30Y,21,GFC,0.0065755785297983,False,True,145
htboost_t,30Y,21,ZIRP_early,5.666428387843105e-07,True,True,145
htboost_t,30Y,21,ZIRP_late,0.2263493713982911,False,False,145
htboost_t,30Y,21,COVID,0.7297694928892393,False,False,145
htboost_t,30Y,21,Hiking,0.9999999703230228,False,False,145
htboost_t,5Y,21,GFC,0.6957413124105429,False,False,145
htboost_t,5Y,21,ZIRP_early,0.000376212727529,False,True,145
htboost_t,5Y,21,ZIRP_late,0.8138838424896191,False,False,145
htboost_t,5Y,21,COVID,0.9999968113134464,False,False,145
htboost_t,5Y,21,Hiking,0.594832938256598,False,False,145
htboost_t,10Y,252,ZIRP_early,2.0715629475279462e-20,True,True,145
htboost_t,10Y,252,ZIRP_late,3.092225517581408e-26,True,True,145
htboost_t,10Y,252,COVID,1.0,False,False,145
htboost_t,10Y,252,Hiking,1.0,False,False,145
htboost_t,15Y,252,ZIRP_early,4.6836361980373574e-24,True,True,145
htboost_t,15Y,252,ZIRP_late,1.479316152875273e-25,True,True,145
htboost_t,15Y,252,COVID,0.9821371275530064,False,False,145
htboost_t,15Y,252,Hiking,1.0,False,False,145
htboost_t,1Y,252,ZIRP_early,1.757402661462915e-53,True,True,145
htboost_t,1Y,252,ZIRP_late,1.0,False,False,145
htboost_t,1Y,252,COVID,1.0,False,False,145
htboost_t,1Y,252,Hiking,0.1064811690993855,False,False,145
htboost_t,30Y,252,ZIRP_early,6.614201659741648e-31,True,True,145
htboost_t,30Y,252,ZIRP_late,3.2072445149255486e-25,True,True,145
htboost_t,30Y,252,COVID,1.0,False,False,145
htboost_t,30Y,252,Hiking,1.0,False,False,145
htboost_t,5Y,252,ZIRP_early,1.1545321719470199e-28,True,True,145
htboost_t,5Y,252,ZIRP_late,3.413505342404686e-05,True,True,145
htboost_t,5Y,252,COVID,1.0,False,False,145
htboost_t,5Y,252,Hiking,1.0,False,False,145
htboost_t,10Y,5,GFC,0.99601859339739,False,False,145
htboost_t,10Y,5,ZIRP_early,0.1968200933442872,False,False,145
htboost_t,10Y,5,ZIRP_late,0.5551369333231975,False,False,145
htboost_t,10Y,5,COVID,0.7551721483364444,False,False,145
htboost_t,10Y,5,Hiking,0.999993375195538,False,False,145
htboost_t,15Y,5,GFC,0.0360418190133164,False,False,145
htboost_t,15Y,5,ZIRP_early,0.0745781710996326,False,False,145
htboost_t,15Y,5,ZIRP_late,0.2739677790313593,False,False,145
htboost_t,15Y,5,COVID,0.4108661036104376,False,False,145
htboost_t,15Y,5,Hiking,0.999801428148628,False,False,145
htboost_t,1Y,5,GFC,0.6862175480705943,False,False,145
htboost_t,1Y,5,ZIRP_early,0.9254218289003672,False,False,145
htboost_t,1Y,5,ZIRP_late,0.9998245567020492,False,False,145
htboost_t,1Y,5,COVID,4.188734207890653e-05,True,True,145
htboost_t,1Y,5,Hiking,0.0004303660508922,False,True,145
htboost_t,30Y,5,GFC,0.047499925244341,False,False,145
htboost_t,30Y,5,ZIRP_early,0.1460356246235326,False,False,145
htboost_t,30Y,5,ZIRP_late,0.7839992673269822,False,False,145
htboost_t,30Y,5,COVID,0.4108661036104376,False,False,145
htboost_t,30Y,5,Hiking,0.9988415177872316,False,False,145
htboost_t,5Y,5,GFC,0.4253133096266072,False,False,145
htboost_t,5Y,5,ZIRP_early,0.2084713678683393,False,False,145
htboost_t,5Y,5,ZIRP_late,0.7667406967323049,False,False,145
htboost_t,5Y,5,COVID,0.967948914092967,False,False,145
htboost_t,5Y,5,Hiking,0.996379321625145,False,False,145
htboost_t,10Y,63,GFC,0.0273854775692165,False,False,145
htboost_t,10Y,63,ZIRP_early,1.0,False,False,145
htboost_t,10Y,63,ZIRP_late,0.0001129070919185,True,True,145
htboost_t,10Y,63,COVID,0.999991876316326,False,False,145
htboost_t,10Y,63,Hiking,1.0,False,False,145
htboost_t,15Y,63,GFC,0.2477495016199701,False,False,145
htboost_t,15Y,63,ZIRP_early,0.0113757797620313,False,True,145
htboost_t,15Y,63,ZIRP_late,9.342777984682026e-07,True,True,145
htboost_t,15Y,63,COVID,0.9998835854333452,False,False,145
htboost_t,15Y,63,Hiking,1.0,False,False,145
htboost_t,1Y,63,GFC,3.0847050564075373e-07,True,True,145
htboost_t,1Y,63,ZIRP_early,7.637288426171305e-06,True,True,145
htboost_t,1Y,63,ZIRP_late,0.9999999999485272,False,False,145
htboost_t,1Y,63,COVID,2.96062219282538e-10,True,True,145
htboost_t,1Y,63,Hiking,6.719590681326364e-05,True,True,145
htboost_t,30Y,63,GFC,0.048296629595344,False,False,145
htboost_t,30Y,63,ZIRP_early,0.9999999999999998,False,False,145
htboost_t,30Y,63,ZIRP_late,0.3737988738332619,False,False,145
htboost_t,30Y,63,COVID,0.9974574037722616,False,False,145
htboost_t,30Y,63,Hiking,1.0,False,False,145
htboost_t,5Y,63,GFC,0.000919399102633,False,True,145
htboost_t,5Y,63,ZIRP_early,0.0020844076640295,False,True,145
htboost_t,5Y,63,ZIRP_late,0.8044075535688144,False,False,145
htboost_t,5Y,63,COVID,0.999999999987792,False,False,145
htboost_t,5Y,63,Hiking,1.0,False,False,145
htboost_l2,10Y,126,GFC,1.361893556427072e-09,True,True,145
htboost_l2,10Y,126,ZIRP_early,6.434539611748782e-38,True,True,145
htboost_l2,10Y,126,ZIRP_late,1.386616607179794e-05,True,True,145
htboost_l2,10Y,126,COVID,1.0,False,False,145
htboost_l2,10Y,126,Hiking,1.0,False,False,145
htboost_l2,15Y,126,GFC,1.0,False,False,145
htboost_l2,15Y,126,ZIRP_early,1.0,False,False,145
htboost_l2,15Y,126,ZIRP_late,9.98193004022197e-08,True,True,145
htboost_l2,15Y,126,COVID,1.0,False,False,145
htboost_l2,15Y,126,Hiking,1.0,False,False,145
htboost_l2,1Y,126,GFC,1.0,False,False,145
htboost_l2,1Y,126,ZIRP_early,0.9319817733753798,False,False,145
htboost_l2,1Y,126,ZIRP_late,1.0,False,False,145
htboost_l2,1Y,126,COVID,0.2469702568283967,False,False,145
htboost_l2,1Y,126,Hiking,0.9999605948137544,False,False,145
htboost_l2,30Y,126,GFC,0.9999999999999956,False,False,145
htboost_l2,30Y,126,ZIRP_early,1.0,False,False,145
htboost_l2,30Y,126,ZIRP_late,5.813739518218265e-09,True,True,145
htboost_l2,30Y,126,COVID,0.999999999934394,False,False,145
htboost_l2,30Y,126,Hiking,1.0,False,False,145
htboost_l2,5Y,126,GFC,1.0,False,False,145
htboost_l2,5Y,126,ZIRP_early,4.798696860342095e-05,True,True,145
htboost_l2,5Y,126,ZIRP_late,0.1685728845333956,False,False,145
htboost_l2,5Y,126,COVID,0.822563192539348,False,False,145
htboost_l2,5Y,126,Hiking,0.9999999999974856,False,False,145
htboost_l2,10Y,1,GFC,0.6205500030580184,False,False,145
htboost_l2,10Y,1,ZIRP_early,0.2751604025389652,False,False,145
htboost_l2,10Y,1,ZIRP_late,0.6404532393088862,False,False,145
htboost_l2,10Y,1,COVID,0.4241410982056885,False,False,145
htboost_l2,10Y,1,Hiking,0.7869848260711869,False,False,145
htboost_l2,15Y,1,GFC,0.5172236466970141,False,False,145
htboost_l2,15Y,1,ZIRP_early,0.9999647994501896,False,False,145
htboost_l2,15Y,1,ZIRP_late,0.8210164514072572,False,False,145
htboost_l2,15Y,1,COVID,0.1521739259795749,False,False,145
htboost_l2,15Y,1,Hiking,0.0573475095473892,False,False,145
htboost_l2,1Y,1,GFC,0.7114473074641208,False,False,145
htboost_l2,1Y,1,ZIRP_early,0.9999727057335442,False,False,145
htboost_l2,1Y,1,ZIRP_late,0.9999063138481084,False,False,145
htboost_l2,1Y,1,COVID,0.9083252432360502,False,False,145
htboost_l2,1Y,1,Hiking,0.0593852686494573,False,False,145
htboost_l2,30Y,1,GFC,0.6638169821418001,False,False,145
htboost_l2,30Y,1,ZIRP_early,0.0568952598510864,False,False,145
htboost_l2,30Y,1,ZIRP_late,0.4522857980333106,False,False,145
htboost_l2,30Y,1,COVID,0.0176613816851292,False,False,145
htboost_l2,30Y,1,Hiking,0.7903504059886913,False,False,145
htboost_l2,5Y,1,GFC,0.9228247595211844,False,False,145
htboost_l2,5Y,1,ZIRP_early,0.997233671413782,False,False,145
htboost_l2,5Y,1,ZIRP_late,0.9923582428107828,False,False,145
htboost_l2,5Y,1,COVID,0.8219089829683744,False,False,145
htboost_l2,5Y,1,Hiking,0.767201762940382,False,False,145
htboost_l2,10Y,21,GFC,0.191701282965254,False,False,145
htboost_l2,10Y,21,ZIRP_early,6.797426806955292e-05,True,True,145
htboost_l2,10Y,21,ZIRP_late,0.7283657366636643,False,False,145
htboost_l2,10Y,21,COVID,0.9823909990698269,False,False,145
htboost_l2,10Y,21,Hiking,0.9999999391780784,False,False,145
htboost_l2,15Y,21,GFC,0.391838689759306,False,False,145
htboost_l2,15Y,21,ZIRP_early,0.7822173526670392,False,False,145
htboost_l2,15Y,21,ZIRP_late,0.0014863161965408,False,True,145
htboost_l2,15Y,21,COVID,0.9191648038869183,False,False,145
htboost_l2,15Y,21,Hiking,0.999999026825389,False,False,145
htboost_l2,1Y,21,GFC,0.9993436359346444,False,False,145
htboost_l2,1Y,21,ZIRP_early,0.0006813405033831,False,True,145
htboost_l2,1Y,21,ZIRP_late,0.9999966405230032,False,False,145
htboost_l2,1Y,21,COVID,3.9568251690722433e-17,True,True,145
htboost_l2,1Y,21,Hiking,0.3819875721049945,False,False,145
htboost_l2,30Y,21,GFC,0.0033750112170013,False,True,145
htboost_l2,30Y,21,ZIRP_early,0.9999963778630978,False,False,145
htboost_l2,30Y,21,ZIRP_late,0.2263493713982911,False,False,145
htboost_l2,30Y,21,COVID,0.7297694928892393,False,False,145
htboost_l2,30Y,21,Hiking,0.9999998430652896,False,False,145
htboost_l2,5Y,21,GFC,0.2791507107022454,False,False,145
htboost_l2,5Y,21,ZIRP_early,0.1098701745736141,False,False,145
htboost_l2,5Y,21,ZIRP_late,0.9987468049060187,False,False,145
htboost_l2,5Y,21,COVID,0.0014531951022746,False,True,145
htboost_l2,5Y,21,Hiking,0.9999900373253404,False,False,145
htboost_l2,10Y,252,ZIRP_early,2.0715629475279468e-20,True,True,145
htboost_l2,10Y,252,ZIRP_late,3.092225517581407e-26,True,True,145
htboost_l2,10Y,252,COVID,1.0,False,False,145
htboost_l2,10Y,252,Hiking,1.0,False,False,145
htboost_l2,15Y,252,ZIRP_early,4.683636198037353e-24,True,True,145
htboost_l2,15Y,252,ZIRP_late,1.4793161528752724e-25,True,True,145
htboost_l2,15Y,252,COVID,1.0,False,False,145
htboost_l2,15Y,252,Hiking,1.0,False,False,145
htboost_l2,1Y,252,ZIRP_early,1.757402661462916e-53,True,True,145
htboost_l2,1Y,252,ZIRP_late,1.0,False,False,145
htboost_l2,1Y,252,COVID,2.0601091562963e-30,True,True,145
htboost_l2,1Y,252,Hiking,0.1064811690993855,False,False,145
htboost_l2,30Y,252,ZIRP_early,6.614201659741651e-31,True,True,145
htboost_l2,30Y,252,ZIRP_late,3.2072445149255486e-25,True,True,145
htboost_l2,30Y,252,COVID,1.0,False,False,145
htboost_l2,30Y,252,Hiking,1.0,False,False,145
htboost_l2,5Y,252,ZIRP_early,1.154532171947019e-28,True,True,145
htboost_l2,5Y,252,ZIRP_late,3.413505342404681e-05,True,True,145
htboost_l2,5Y,252,COVID,1.0,False,False,145
htboost_l2,5Y,252,Hiking,1.0,False,False,145
htboost_l2,10Y,5,GFC,0.9905289720400862,False,False,145
htboost_l2,10Y,5,ZIRP_early,0.7798773576076088,False,False,145
htboost_l2,10Y,5,ZIRP_late,0.5551369333231975,False,False,145
htboost_l2,10Y,5,COVID,0.7551721483364444,False,False,145
htboost_l2,10Y,5,Hiking,0.9999984227925194,False,False,145
htboost_l2,15Y,5,GFC,0.9711952387687516,False,False,145
htboost_l2,15Y,5,ZIRP_early,0.7125489275089889,False,False,145
htboost_l2,15Y,5,ZIRP_late,0.4086239958827802,False,False,145
htboost_l2,15Y,5,COVID,0.4108661036104376,False,False,145
htboost_l2,15Y,5,Hiking,0.999801428148628,False,False,145
htboost_l2,1Y,5,GFC,0.7582941731746019,False,False,145
htboost_l2,1Y,5,ZIRP_early,0.9134542123097892,False,False,145
htboost_l2,1Y,5,ZIRP_late,0.9997504612163084,False,False,145
htboost_l2,1Y,5,COVID,0.9985813097638624,False,False,145
htboost_l2,1Y,5,Hiking,0.0094799995899201,False,False,145
htboost_l2,30Y,5,GFC,0.915389463105967,False,False,145
htboost_l2,30Y,5,ZIRP_early,0.0258393743067157,False,False,145
htboost_l2,30Y,5,ZIRP_late,0.8100930086053836,False,False,145
htboost_l2,30Y,5,COVID,0.4108661036104376,False,False,145
htboost_l2,30Y,5,Hiking,0.9988415177872316,False,False,145
htboost_l2,5Y,5,GFC,0.4999999999999995,False,False,145
htboost_l2,5Y,5,ZIRP_early,0.8721326222006558,False,False,145
htboost_l2,5Y,5,ZIRP_late,0.7667406967323049,False,False,145
htboost_l2,5Y,5,COVID,0.967948914092967,False,False,145
htboost_l2,5Y,5,Hiking,0.9812201706228274,False,False,145
htboost_l2,10Y,63,GFC,0.0273854775692165,False,False,145
htboost_l2,10Y,63,ZIRP_early,0.3884152743772322,False,False,145
htboost_l2,10Y,63,ZIRP_late,0.0001129070919185,True,True,145
htboost_l2,10Y,63,COVID,0.999991876316326,False,False,145
htboost_l2,10Y,63,Hiking,1.0,False,False,145
htboost_l2,15Y,63,GFC,0.2477495016199701,False,False,145
htboost_l2,15Y,63,ZIRP_early,0.1004801142273424,False,False,145
htboost_l2,15Y,63,ZIRP_late,9.342777984682026e-07,True,True,145
htboost_l2,15Y,63,COVID,0.9998835854333452,False,False,145
htboost_l2,15Y,63,Hiking,1.0,False,False,145
htboost_l2,1Y,63,GFC,0.9999805227924417,False,False,145
htboost_l2,1Y,63,ZIRP_early,0.2186716303454826,False,False,145
htboost_l2,1Y,63,ZIRP_late,0.9999999999485272,False,False,145
htboost_l2,1Y,63,COVID,0.9999992263298952,False,False,145
htboost_l2,1Y,63,Hiking,0.0002792601337901,True,True,145
htboost_l2,30Y,63,GFC,0.1484481691717302,False,False,145
htboost_l2,30Y,63,ZIRP_early,0.999999999999998,False,False,145
htboost_l2,30Y,63,ZIRP_late,0.9976517350811028,False,False,145
htboost_l2,30Y,63,COVID,0.9974574037722616,False,False,145
htboost_l2,30Y,63,Hiking,1.0,False,False,145
htboost_l2,5Y,63,GFC,0.0153465164248593,False,False,145
htboost_l2,5Y,63,ZIRP_early,0.2346293359777419,False,False,145
htboost_l2,5Y,63,ZIRP_late,0.8044075535688144,False,False,145
htboost_l2,5Y,63,COVID,0.9999920001400906,False,False,145
htboost_l2,5Y,63,Hiking,1.0,False,False,145
xgboost,10Y,126,GFC,3.4261223735863856e-36,True,True,150
xgboost,10Y,126,ZIRP_early,6.434539611748782e-38,True,True,150
xgboost,10Y,126,ZIRP_late,1.386616607179794e-05,True,True,150
xgboost,10Y,126,COVID,1.0,False,False,150
xgboost,10Y,126,Hiking,1.0,False,False,150
xgboost,15Y,126,GFC,0.9999999645583648,False,False,150
xgboost,15Y,126,ZIRP_early,1.546059244909849e-36,True,True,150
xgboost,15Y,126,ZIRP_late,9.98193004022197e-08,True,True,150
xgboost,15Y,126,COVID,1.0,False,False,150
xgboost,15Y,126,Hiking,1.0,False,False,150
xgboost,1Y,126,GFC,1.6774089246595262e-42,True,True,150
xgboost,1Y,126,ZIRP_early,3.5459845824181254e-14,True,True,150
xgboost,1Y,126,ZIRP_late,1.0,False,False,150
xgboost,1Y,126,COVID,1.5810596842989623e-14,True,True,150
xgboost,1Y,126,Hiking,0.9999999999505472,False,False,150
xgboost,30Y,126,GFC,0.9999999999915788,False,False,150
xgboost,30Y,126,ZIRP_early,2.0969789786237155e-39,True,True,150
xgboost,30Y,126,ZIRP_late,5.813739518218265e-09,True,True,150
xgboost,30Y,126,COVID,0.999999999934394,False,False,150
xgboost,30Y,126,Hiking,1.0,False,False,150
xgboost,5Y,126,GFC,5.450681715109127e-44,True,True,150
xgboost,5Y,126,ZIRP_early,7.466936513986906e-19,True,True,150
xgboost,5Y,126,ZIRP_late,0.9998950633523536,False,False,150
xgboost,5Y,126,COVID,1.0,False,False,150
xgboost,5Y,126,Hiking,0.9999999999974856,False,False,150
xgboost,10Y,1,GFC,0.6205500030580184,False,False,150
xgboost,10Y,1,ZIRP_early,0.9733848179267292,False,False,150
xgboost,10Y,1,ZIRP_late,0.9064279659500492,False,False,150
xgboost,10Y,1,COVID,0.1946152250565669,False,False,150
xgboost,10Y,1,Hiking,0.5788646725497779,False,False,150
xgboost,15Y,1,GFC,0.8397537450169277,False,False,150
xgboost,15Y,1,ZIRP_early,0.9999647994501896,False,False,150
xgboost,15Y,1,ZIRP_late,0.6698869679616366,False,False,150
xgboost,15Y,1,COVID,0.2315944695142664,False,False,150
xgboost,15Y,1,Hiking,0.7594954429024674,False,False,150
xgboost,1Y,1,GFC,0.8467123613238885,False,False,150
xgboost,1Y,1,ZIRP_early,0.4447598352086719,False,False,150
xgboost,1Y,1,ZIRP_late,0.5794379748618714,False,False,150
xgboost,1Y,1,COVID,0.0641624305300594,False,False,150
xgboost,1Y,1,Hiking,0.998068555106278,False,False,150
xgboost,30Y,1,GFC,0.9622144195293888,False,False,150
xgboost,30Y,1,ZIRP_early,0.0190511243892125,False,False,150
xgboost,30Y,1,ZIRP_late,0.6101622175885792,False,False,150
xgboost,30Y,1,COVID,0.2315944695142664,False,False,150
xgboost,30Y,1,Hiking,0.3938887259704443,False,False,150
xgboost,5Y,1,GFC,0.5485709387682112,False,False,150
xgboost,5Y,1,ZIRP_early,0.8903371626383344,False,False,150
xgboost,5Y,1,ZIRP_late,0.9968265663762284,False,False,150
xgboost,5Y,1,COVID,0.482479940187378,False,False,150
xgboost,5Y,1,Hiking,0.7247419706980072,False,False,150
xgboost,10Y,21,GFC,0.9994291210122688,False,False,150
